Country_code,Country,WHO_region,year_month,ChangeRate
AG,Antigua and Barbuda,AMRO,2025-01,NA
AG,Antigua and Barbuda,AMRO,2025-02,NA
AG,Antigua and Barbuda,AMRO,2025-03,NA
AG,Antigua and Barbuda,AMRO,2025-04,NA
AG,Antigua and Barbuda,AMRO,2025-05,NA
AI,Anguilla,AMRO,2020-01,NA
AI,Anguilla,AMRO,2020-02,NA
AI,Anguilla,AMRO,2020-03,Inf
AI,Anguilla,AMRO,2020-04,-50
AI,Anguilla,AMRO,2020-05,-100
AI,Anguilla,AMRO,2020-06,NA
AI,Anguilla,AMRO,2020-07,NA
AI,Anguilla,AMRO,2020-08,NA
AI,Anguilla,AMRO,2020-09,NA
AI,Anguilla,AMRO,2020-10,NA
AI,Anguilla,AMRO,2020-11,Inf
AI,Anguilla,AMRO,2020-12,700
AI,Anguilla,AMRO,2021-01,-37.5
AI,Anguilla,AMRO,2021-02,-80
AI,Anguilla,AMRO,2021-03,400
AI,Anguilla,AMRO,2021-04,600
AI,Anguilla,AMRO,2021-05,45.714285714285715
AI,Anguilla,AMRO,2021-06,-100
AI,Anguilla,AMRO,2021-07,Inf
AI,Anguilla,AMRO,2021-08,1925
AI,Anguilla,AMRO,2021-09,109.87654320987654
AI,Anguilla,AMRO,2021-10,210.58823529411765
AI,Anguilla,AMRO,2021-11,-16.28787878787879
AI,Anguilla,AMRO,2021-12,-29.411764705882355
AI,Anguilla,AMRO,2022-01,117.3076923076923
AI,Anguilla,AMRO,2022-02,-69.91150442477876
AI,Anguilla,AMRO,2022-03,-48.52941176470589
AI,Anguilla,AMRO,2022-04,-6.666666666666667
AI,Anguilla,AMRO,2022-05,381.6326530612245
AI,Anguilla,AMRO,2022-06,-55.932203389830505
AI,Anguilla,AMRO,2022-07,-18.75
AI,Anguilla,AMRO,2022-08,33.13609467455622
AI,Anguilla,AMRO,2022-09,-76.44444444444444
AI,Anguilla,AMRO,2022-10,-84.90566037735849
AI,Anguilla,AMRO,2022-11,-100
AI,Anguilla,AMRO,2022-12,Inf
AI,Anguilla,AMRO,2023-01,-100
AI,Anguilla,AMRO,2023-02,NA
AI,Anguilla,AMRO,2023-03,NA
AI,Anguilla,AMRO,2023-04,NA
AI,Anguilla,AMRO,2023-05,NA
AI,Anguilla,AMRO,2023-06,NA
AI,Anguilla,AMRO,2023-07,NA
AI,Anguilla,AMRO,2023-08,NA
AI,Anguilla,AMRO,2023-09,NA
AI,Anguilla,AMRO,2023-10,NA
AI,Anguilla,AMRO,2023-11,NA
AI,Anguilla,AMRO,2023-12,NA
AI,Anguilla,AMRO,2024-01,NA
AI,Anguilla,AMRO,2024-02,NA
AI,Anguilla,AMRO,2024-03,NA
AI,Anguilla,AMRO,2024-04,NA
AI,Anguilla,AMRO,2024-05,NA
AI,Anguilla,AMRO,2024-06,NA
AI,Anguilla,AMRO,2024-07,NA
AI,Anguilla,AMRO,2024-08,NA
AI,Anguilla,AMRO,2024-09,NA
AI,Anguilla,AMRO,2024-10,NA
AI,Anguilla,AMRO,2024-11,NA
AI,Anguilla,AMRO,2024-12,NA
AI,Anguilla,AMRO,2025-01,NA
AI,Anguilla,AMRO,2025-02,NA
AI,Anguilla,AMRO,2025-03,NA
AI,Anguilla,AMRO,2025-04,NA
AI,Anguilla,AMRO,2025-05,NA
AL,Albania,EURO,2020-01,NA
AL,Albania,EURO,2020-02,NA
AL,Albania,EURO,2020-03,Inf
AL,Albania,EURO,2020-04,164.51612903225808
AL,Albania,EURO,2020-05,-14.43089430894309
AL,Albania,EURO,2020-06,177.90973871733965
AL,Albania,EURO,2020-07,96.66666666666669
AL,Albania,EURO,2020-08,100.99956540634508
AL,Albania,EURO,2020-09,-16.756756756756758
AL,Albania,EURO,2020-10,43.142857142857146
AL,Albania,EURO,2020-11,220.9762293594629
AL,Albania,EURO,2020-12,8.174571767765277
AL,Albania,EURO,2021-01,9.589756989809253
AL,Albania,EURO,2021-02,37.715784453981875
AL,Albania,EURO,2021-03,-37.715987395685445
AL,Albania,EURO,2021-04,-60.78278756879969
AL,Albania,EURO,2021-05,-71.43464700878934
AL,Albania,EURO,2021-06,-89.03225806451613
AL,Albania,EURO,2021-07,45.70135746606335
AL,Albania,EURO,2021-08,3113.0434782608695
AL,Albania,EURO,2021-09,127.29557316837426
AL,Albania,EURO,2021-10,-24.944718489539035
AL,Albania,EURO,2021-11,-18.458923512747873
AL,Albania,EURO,2021-12,-41.015842134519175
AL,Albania,EURO,2022-01,471.5631994345624
AL,Albania,EURO,2022-02,-67.90395713107996
AL,Albania,EURO,2022-03,-87.13157387786553
AL,Albania,EURO,2022-04,-31.786427145708583
AL,Albania,EURO,2022-05,-2.9261155815654716
AL,Albania,EURO,2022-06,65.71213262999245
AL,Albania,EURO,2022-07,1312.7785356980446
AL,Albania,EURO,2022-08,-43.55103486014099
AL,Albania,EURO,2022-09,-77.49329988025318
AL,Albania,EURO,2022-10,-75.0950088674943
AL,Albania,EURO,2022-11,-53.50966429298067
AL,Albania,EURO,2022-12,2.4070021881838075
AL,Albania,EURO,2023-01,17.307692307692307
AL,Albania,EURO,2023-02,-51.91256830601093
AL,Albania,EURO,2023-03,19.696969696969695
AL,Albania,EURO,2023-04,-7.9113924050632916
AL,Albania,EURO,2023-05,-100
AL,Albania,EURO,2023-06,NA
AL,Albania,EURO,2023-07,NA
AL,Albania,EURO,2023-08,NA
AL,Albania,EURO,2023-09,NA
AL,Albania,EURO,2023-10,NA
AL,Albania,EURO,2023-11,Inf
AL,Albania,EURO,2023-12,-40.88050314465409
AL,Albania,EURO,2024-01,42.02127659574468
AL,Albania,EURO,2024-02,-64.04494382022472
AL,Albania,EURO,2024-03,-28.125
AL,Albania,EURO,2024-04,-78.26086956521739
AL,Albania,EURO,2024-05,40
AL,Albania,EURO,2024-06,795.2380952380953
AL,Albania,EURO,2024-07,367.5531914893617
AL,Albania,EURO,2024-08,-12.400455062571105
AL,Albania,EURO,2024-09,-64.93506493506493
AL,Albania,EURO,2024-10,-91.11111111111111
AL,Albania,EURO,2024-11,-95.83333333333334
AL,Albania,EURO,2024-12,-100
AL,Albania,EURO,2025-01,NA
AL,Albania,EURO,2025-02,NA
AL,Albania,EURO,2025-03,NA
AL,Albania,EURO,2025-04,NA
AL,Albania,EURO,2025-05,NA
AM,Armenia,EURO,2020-01,NA
AM,Armenia,EURO,2020-02,NA
AM,Armenia,EURO,2020-03,Inf
